image,timestamp_start_fixation,timestamp_end_fixation,x_position,y_position,angular_resolution_x_pixels_per_degree,angular_resolution_y_pixels_per_degree,window_width,window_level,xmin_shown_from_image,ymin_shown_from_image,xmax_shown_from_image,ymax_shown_from_image,xmin_in_screen_coordinates,ymin_in_screen_coordinates,xmax_in_screen_coordinates,ymax_in_screen_coordinates
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,128.576,128.717,1836,1884,24,24,1.0,0.6,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,128.73,128.869,1811,1932,24,24,1.0,0.62,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,128.883,129.05,1705,1820,24,24,1.0,0.64,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,129.273,129.508,1753,1859,24,24,1.01,0.7,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,129.581,129.705,1903,1826,24,24,1.03,0.72,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,129.968,130.219,736,1774,24,24,1.03,0.67,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,130.26,130.525,933,1639,24,24,1.03,0.64,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,130.581,130.858,888,2464,24,24,1.03,0.59,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,130.872,131.054,893,2477,24,24,0.98,0.64,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,131.167,131.333,883,2278,24,24,0.98,0.67,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,131.348,131.569,855,2268,24,24,0.96,0.68,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,131.652,131.764,579,2125,24,24,0.96,0.69,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,131.792,132.223,466,1994,24,24,0.98,0.66,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,132.237,132.489,817,2480,24,24,1.01,0.6,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,132.588,132.946,412,2000,24,24,1.01,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,132.974,133.322,361,1917,24,24,1.01,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,133.477,133.587,781,1398,24,24,0.98,0.58,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,133.656,133.893,854,1039,24,24,0.98,0.6,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,133.908,134.172,847,1016,24,24,0.98,0.62,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,134.187,134.436,864,1009,24,24,1.02,0.52,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,134.575,135.188,921,923,24,24,1.01,0.48,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,135.202,135.355,858,1060,24,24,1.0,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,135.397,135.508,1053,1104,24,24,1.0,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,135.564,135.703,770,1080,24,24,1.0,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,135.717,136.149,774,1100,24,24,1.0,0.54,0,0,2663,3000,961,0,2879,2160
060cf092-fe76bdf7-19fee515-26cbef2c-5c16ba6f,136.204,136.428,931,1468,24,24,1.0,0.54,0,0,2663,3000,961,0,2879,2160
